representation,unit_id,tile_id,partition,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_bbox_span_m
zona777,166,E22_N419,train,37535,58653.852199999994,45329,67349.5155,1147.418482771085
zona777,167,E22_N419,train,20871,32828.8566,30675,44832.9434,1504.575243846106
zona777,168,E22_N419,train,80670,118073.147,77045,116616.1832,1314.882815087214
zona777,169,E22_N419,train,37574,58517.6549,30446,46063.1137,1834.122005596757
zona777,17,E22_N420,validation,19115,27759.7291,13380,19762.8396,1358.7617633699556
zona777,170,E22_N419,train,44157,70873.77620000001,39667,58556.395,2741.93626824941
zona777,171,E22_N419,train,32399,49933.0017,36119,53038.3692,1028.3329562298022
zona777,172,E22_N419,train,73513,111630.4674,26607,38877.551699999996,1251.127746299724
zona777,173,E23_N419,train,8696,13451.912400000001,11765,17413.0566,1526.7454706756398
zona777,174,E23_N420,test,33704,53525.2007,48405,71144.4777,2899.323155265301
zona777,175,E23_N420,test,1294538,1700188.657399999,1433908,1956355.6708000004,1381.5530462969327
zona777,176,E23_N420,test,253907,376716.0991,165552,234598.956,1560.536579668522
zona777,177,E23_N419,train,34564,47049.5161,27187,38234.5907,936.7870244886726
zona777,178,E23_N419,train,544806,737144.1262000002,588700,806398.7420999999,1291.2667511422187
zona777,179,E23_N420,test,913286,1197756.0029999998,1024332,1401679.1173000003,1304.699029690586
zona777,18,E22_N420,validation,16229,23159.6381,14789,21783.4258,982.7171309310944
zona777,180,E23_N420,test,121106,157769.9567,127914,178879.2999,1386.1377253223327
zona777,181,E23_N419,train,512456,708934.2791000002,592204,827194.9367,980.61104805395
zona777,182,E23_N419,train,103912,143000.5554,95247,130524.37150000001,1301.8633642182683
zona777,183,E23_N419,train,298832,400719.05840000004,338775,464239.4106,1669.5064805857835
zona777,184,E23_N419,train,93767,132525.668,84142,116404.22780000001,1724.85040150024
zona777,185,E23_N419,train,37657,53926.3424,20676,29149.369,1648.332164819003
zona777,186,E23_N419,train,111126,145828.86949999997,72584,100047.19470000001,1549.3989092713457
zona777,187,E23_N419,train,36903,49508.081499999986,25061,35142.507099999995,2018.440814693284
zona777,188,E23_N420,test,45779,66036.341,54076,75590.4815,1935.1161564710785
zona777,189,E23_N420,test,127976,178011.5927,66323,93601.6361,1685.4890012653775
zona777,19,E22_N420,validation,50214,78127.68980000001,40285,59287.4707,1642.226269904524
zona777,190,E23_N420,test,31297,46106.275499999996,33092,44998.1664,1965.364043700276
zona777,191,E23_N420,test,37293,55502.9974,20410,28600.7066,1997.8066031453784
zona777,192,E23_N420,test,51162,70767.3894,37423,51182.445,1508.755086983554
zona777,193,E23_N420,test,65476,96952.35960000001,38756,53648.634900000005,1988.4197757707443
zona777,194,E23_N420,test,38846,57475.2499,33546,47264.8112,1973.821585185011
zona777,195,E23_N420,test,131080,194106.2769,113718,158210.7647,1586.316506634641
zona777,196,E23_N420,test,14993,21762.0315,60782,84787.5104,1219.4574400587007
zona777,197,E23_N420,test,21919,31770.7138,41271,58071.5477,1393.484668880934
zona777,198,E23_N420,test,21840,32961.7419,22003,31249.46,1621.733118861448
zona777,199,E23_N420,test,131894,185304.3664,16866,24644.491899999997,1870.608290716249
zona777,2,E23_N420,test,7569,11382.8547,12163,17955.014,1395.3666029460728
zona777,20,E23_N420,test,34506,50057.2162,27310,40232.7523,1118.9931938842635
zona777,200,E23_N420,test,15292,22115.5878,19760,27228.322,7548.145075770502
zona777,201,E23_N420,test,49108,68358.0885,17645,24814.1727,1403.1248508746503
zona777,202,E23_N420,test,67947,99856.5246,69981,97475.97429999999,3336.2692966302857
zona777,203,E24_N420,train,4402,7530.7728,7348,10833.9033,2259.223213358025
zona777,204,E23_N420,test,114479,166388.87579999998,49543,71392.2037,3280.8393101450056
zona777,206,E23_N420,test,1258925,1671285.2167999991,1472045,2024960.4613000005,2068.8192218359327
zona777,207,E23_N420,test,142960,193331.1977,105873,148538.3558,1873.0881936224175
zona777,208,E23_N420,test,121417,168196.9503,147545,204736.39709999997,2314.8962610088056
zona777,209,E23_N420,test,6048,9925.8614,41409,57406.2756,1489.8394770073355
zona777,21,E22_N420,validation,13520,21064.0776,14333,21221.586,1264.705059511587
zona777,210,E23_N420,test,141211,194249.1987,125405,174040.8754,1531.361170086544
zona777,211,E23_N420,test,31277,44561.1716,76791,104812.4368,1440.2157522327034
zona777,212,E24_N420,train,7204,12194.1953,65057,89862.0776,2443.443959127704
zona777,213,E23_N420,test,836462,1090315.7373,900095,1220851.1207,1705.099138565245
zona777,214,E23_N420,test,506719,658932.826,564185,760633.9177,1742.5848028307082
zona777,215,E23_N420,test,589600,769756.4142000001,589839,803034.6651999999,1348.770281254314
zona777,216,E23_N420,test,167461,217893.0856,102081,139047.99850000002,1089.8219350297004
zona777,217,E23_N420,test,219392,292842.3297,246347,336963.1236,1424.6604881496169
zona777,218,E23_N420,test,36994,52629.387,93518,127087.77839999998,1607.214622032072
zona777,219,E23_N420,test,58401,77242.02529999998,38134,52740.0695,1959.594531212002
zona777,22,E22_N420,validation,12408,19807.9798,6942,10682.0726,1069.0886025065556
zona777,220,E23_N420,test,32725,46267.8085,25176,34441.3487,3614.500457076181
zona777,221,E23_N420,test,150662,204885.551,186770,257458.7327,1660.7766826783773
zona777,222,E23_N420,test,375222,513626.4318,347113,478437.15209999995,1303.2196224032668
zona777,223,E23_N420,test,31552,44831.4044,19889,28069.6559,980.3689757324756
zona777,224,E23_N420,test,186081,250764.91309999998,229180,316608.1601,1522.5657927719876
zona777,225,E23_N420,test,29856,43379.35,43771,60930.9208,1404.587133895373
zona777,226,E23_N420,test,47737,67630.1542,34756,48782.1511,1090.9144929084578
zona777,227,E23_N420,test,77422,109563.9072,72018,100067.3156,1382.3460190612825
zona777,228,E23_N420,test,68040,98072.654,70172,99035.2136,1453.6686302970047
zona777,229,E23_N420,test,85052,124002.3456,57423,81807.474,1920.5141970161349
zona777,23,E22_N420,validation,318213,447363.2200000001,353863,504926.88599999994,1608.3956007603556
zona777,230,E23_N420,test,40508,57883.1515,27366,38563.8307,3317.203586820513
zona777,231,E23_N419,train,544268,740809.0619999998,591723,828120.3966999999,1749.2919214176943
zona777,232,E23_N419,train,555817,744222.4532000001,588555,812715.3674999999,1429.5482564931735
zona777,233,E23_N419,train,61328,86824.6804,48071,67053.77500000001,1394.3470981824794
zona777,234,E23_N419,train,24566,34487.7273,20073,27812.4365,1960.5191719689171
zona777,235,E23_N419,train,47288,62782.6979,30116,41372.4821,1194.0048842967371
zona777,236,E23_N419,train,245145,323726.6845,231319,323674.9243,1385.0928643948864
zona777,237,E23_N419,train,21686,29390.1508,21346,29909.404,1374.2149127206649
zona777,238,E23_N419,train,207870,291789.8167,262183,370486.5243,1537.9109198581427
zona777,239,E23_N419,train,114505,160835.2664,128822,180393.60129999998,1147.942667174153
zona777,24,E22_N420,validation,5215,7566.2934,3151,4565.8768,846.4509941125871
zona777,240,E23_N419,train,467928,617760.4556999999,410070,567059.5508999999,1466.1148190667154
zona777,241,E23_N419,train,21493,29907.5796,36351,50986.267199999995,1557.5542144244537
zona777,242,E23_N419,train,130331,175467.2217,136114,190033.7094,1186.1287273261696
zona777,243,E23_N419,train,16504,23993.0519,12375,17764.4231,1200.0438044238836
zona777,244,E23_N419,train,2125,3194.9616,3115,4411.5175,765.023587329255
zona777,245,E23_N419,train,52868,76358.3868,59261,82753.6683,1309.6226616613567
zona777,246,E23_N419,train,131374,182133.69,175914,244048.8003,1216.4942137112375
zona777,247,E23_N419,train,33752,45716.333399999996,28223,39420.4326,1108.2069628484314
zona777,248,E23_N419,train,25204,35288.8533,12148,17117.0662,1641.8603028237703
zona777,249,E23_N419,train,29991,40055.6878,26979,37593.828199999996,795.2499417565996
zona777,25,E23_N420,test,22188,33429.1787,13450,19829.1185,1133.9253871329129
zona777,250,E23_N419,train,13996,20217.4612,12018,16894.7346,1241.39486990124
zona777,251,E23_N419,train,31790,46634.9227,51880,72386.36209999998,2327.0850321650505
zona777,252,E23_N419,train,18102,26185.2336,15761,22095.2415,1043.2628703275695
zona777,253,E23_N419,train,33433,48134.0897,25863,37031.7107,1641.7707666162169
zona777,254,E23_N419,train,13127,19121.4422,10383,14525.7609,3096.730366217904
zona777,255,E23_N419,train,14070,19690.9137,15556,21692.6034,1597.0801487978897
zona777,256,E23_N419,train,237817,322982.7899,273527,378216.604,1266.742276007717
zona777,257,E23_N419,train,407492,551123.9919,456523,639540.0623999999,1208.6548082927477
zona777,258,E23_N419,train,24882,37048.2136,28420,40306.4988,1355.1976180072525
zona777,259,E23_N419,train,31576,46830.1855,27774,39914.4494,1306.4607145037735
zona777,26,E22_N420,validation,13309,19915.7228,7035,10615.481,933.0695059910068
zona777,260,E23_N419,train,12394,18137.730199999998,32826,45862.2508,1460.8579662665725
zona777,261,E23_N419,train,43878,66481.0061,52180,74332.6966,937.1792811221676
zona777,262,E22_N419,train,5147,7486.7139,3989,5867.3827,701.8576879221946
zona777,263,E22_N419,train,9003,15333.1613,7966,11630.8915,715.2259549847804
zona777,264,E23_N419,train,17609,25953.737,29412,42757.8741,1100.5547797966865
zona777,265,E23_N419,train,54171,86414.742,35400,52246.7315,798.0019508022815
zona777,266,E23_N419,train,604210,864583.3403,698883,993943.7938,793.5525362677872
zona777,267,E23_N419,train,49358,72931.1466,63468,92204.4978,539.7576771471649
zona777,268,E23_N419,train,36259,51264.394700000004,38625,55353.8822,800.5775020048022
zona777,269,E22_N419,train,57488,83249.4115,50380,72493.5294,671.7807032205164
zona777,27,E23_N420,test,29120,42398.3761,22448,33080.2801,1223.2744609446963
zona777,270,E22_N419,train,45973,67244.45760000001,28603,41389.1445,667.8687824280933
zona777,271,E23_N419,train,22720,34629.0629,26224,37890.4086,849.0578496661619
zona777,272,E22_N419,train,293132,405834.11220000003,328259,464330.20910000004,645.8891314268112
zona777,273,E22_N419,train,25971,37996.5667,17651,25831.7723,632.0190568743274
zona777,274,E23_N419,train,777276,1084309.2546,878836,1231005.4917,804.2436027100775
zona777,275,E23_N419,train,112711,165755.1335,112968,162253.9812,1047.4558807089925
zona777,276,E23_N419,train,810893,1084847.8443999998,888599,1226471.6214,766.7629118766636
zona777,277,E22_N419,train,107369,146770.42450000002,84029,121095.4446,834.1606648219749
zona777,278,E22_N419,train,29285,39309.045,45001,63348.3082,737.3075637277216
zona777,279,E23_N419,train,83199,117788.2179,68430,96642.4871,721.409232861537
zona777,28,E22_N420,validation,4274,6914.3135999999995,4029,6074.6293,1108.929649518279
zona777,280,E22_N419,train,381754,524368.7389,420320,591415.4095999999,1083.826147923246
zona777,281,E22_N419,train,530493,710534.8593,590246,817507.7996999999,1267.4184631630778
zona777,282,E23_N419,train,842097,1144602.0391000004,1002430,1390307.1016,1405.0902387518436
zona777,283,E23_N419,train,56531,80311.69009999999,64004,91939.68549999999,1065.3147487733513
zona777,284,E23_N419,train,965722,1306036.400300001,1040754,1437238.8566999997,1187.3796705100683
zona777,285,E23_N419,train,1093206,1433573.3000999996,1180092,1615533.265,745.2470617890358
zona777,286,E23_N419,train,1031666,1413123.895300001,1152073,1600621.5787999996,872.3333608335815
zona777,287,E23_N419,train,24049,38239.939,42776,61013.23,680.8163414206356
zona777,288,E23_N419,train,51011,74161.2452,38122,54959.9516,1009.9115443594056
zona777,289,E23_N419,train,93954,136189.9076,73491,103507.9846,1105.0707536432892
zona777,290,E23_N419,train,29378,44338.6577,35237,50278.0348,836.795926612569
zona777,291,E23_N419,train,44772,66610.3732,37658,53050.227300000006,735.0500521976501
zona777,292,E23_N419,train,92972,131169.795,58573,83237.3224,1347.6663553908584
zona777,293,E22_N419,train,38610,57735.0639,41373,59328.9208,961.6675637215376
zona777,294,E23_N419,train,52630,69136.6386,21575,30826.7448,1855.9498601788653
zona777,295,E23_N419,train,226827,319736.7366,249007,359892.7895,2041.807991212234
zona777,296,E23_N419,train,110920,157031.6965,95925,137999.6472,1211.5803196430206
zona777,297,E23_N419,train,33542,50857.5293,55667,78217.5813,1253.7867045570165
zona777,298,E23_N419,train,253782,353444.864,284420,399850.3783,1073.28996638261
zona777,299,E23_N419,train,361348,502881.0464,381828,538325.632,1715.6202095551416
zona777,3,E22_N420,validation,25082,39383.748100000004,12792,19031.4093,1326.1028390348074
zona777,30,E23_N420,test,22815,35753.3312,6343,9065.047700000001,1249.5794231062755
zona777,300,E23_N419,train,21139,31507.7206,23166,33105.2552,764.3061146531254
zona777,301,E22_N419,train,39945,58944.3566,17614,25489.0557,1075.720402893901
zona777,302,E22_N419,train,5615,8538.4332,6117,8805.3313,649.8684146450832
zona777,303,E23_N419,train,460780,640464.5177,509133,719409.6095,884.4585698936135
zona777,304,E23_N419,train,178493,249315.06829999998,194965,282657.448,961.7925451677291
zona777,305,E23_N419,train,46121,65176.6518,40174,59670.395300000004,1499.6618288023164
zona777,306,E23_N419,train,466964,630781.2271,546889,760995.9465999999,659.8309475732967
zona777,307,E23_N419,train,257218,354595.5878,176390,263045.483,654.0255242111161
zona777,308,E23_N419,train,53927,72933.1931,53048,74869.6838,834.4378724610433
zona777,309,E23_N419,train,223311,306553.6161,276421,384284.1113,596.6612629573792
zona777,31,E23_N420,test,8160,12670.7479,5346,7708.9006,1030.5613923192725
zona777,310,E23_N419,train,41496,60319.0256,33842,49680.7069,1251.9831050317734
zona777,311,E23_N419,train,9272,13718.4988,8354,12089.2922,1267.3918035825482
zona777,312,E23_N419,train,13726,21598.7934,16037,23456.7488,916.0897618569434
zona777,313,E23_N419,train,17813,27177.8943,12117,17626.3505,1371.5752835748715
zona777,314,E23_N419,train,14383,21725.5583,12499,18179.6254,1137.597442965838
zona777,315,E23_N419,train,11570,17996.251,13159,18794.8844,1182.9031899956751
zona777,316,E23_N419,train,37169,56960.4905,35766,51147.4781,1339.0985544034047
zona777,317,E23_N419,train,7270,10968.803,12538,17902.5192,1335.1996501348913
zona777,318,E23_N419,train,7185,10492.0102,5191,7717.4333,1051.558192158176
zona777,319,E23_N419,train,35442,51517.4333,19963,29590.742,1323.961392038036
zona777,32,E23_N420,test,21491,34909.7889,17963,25903.027,1716.316542571236
zona777,320,E23_N419,train,19271,29650.2712,12409,18049.6761,1214.7739250872985
zona777,321,E23_N419,train,22481,35605.8529,21023,30730.5857,852.6452129725367
zona777,322,E23_N419,train,22442,34334.2572,15097,22143.2126,781.8087896043435
zona777,323,E23_N419,train,13159,19725.625,8703,12665.604,774.34820553381
zona777,324,E23_N419,train,1225,1871.6847,3161,4287.4359,958.6248762402683
zona777,325,E23_N419,train,8817,13704.491,6318,9427.7026,906.6782828183495
zona777,326,E23_N419,train,18857,28808.9258,10473,15410.1426,1050.2541398182511
zona777,327,E23_N419,train,11691,17836.318900000002,7884,11280.215,1256.9641687590629
zona777,328,E23_N419,train,30915,47719.5032,20563,30605.0644,1130.6644798664493
zona777,329,E23_N419,train,37971,55939.2657,32838,47719.3406,1475.2814977706876
zona777,33,E23_N420,test,36849,55001.204,29994,43291.587400000004,1240.157105200924
zona777,330,E23_N419,train,8404,12735.2766,6162,9039.6583,1168.6641964111477
zona777,331,E23_N419,train,6663,11193.250900000001,4932,7361.338400000001,776.3114021699876
zona777,332,E23_N419,train,9552,14498.6945,5258,7787.2142,935.6302095670252
zona777,333,E23_N419,train,15619,26001.8384,17129,25332.5726,1124.712718168099
zona777,334,E23_N419,train,9499,15035.6828,9814,14582.1664,1317.3589406012325
zona777,335,E23_N419,train,13047,19538.3338,11570,17355.2916,1766.3355003962645
zona777,336,E23_N419,train,27365,44025.1907,16964,25172.2502,1102.9534327498404
zona777,337,E23_N419,train,88155,125235.6445,101862,147971.5378,937.6559752034956
zona777,338,E23_N418,validation,30739,44151.5271,25141,35964.9908,2853.843383465195
zona777,339,E23_N418,validation,25327,41084.3915,19000,28873.28,2483.0036060251296
zona777,34,E23_N420,test,42348,67542.4697,67061,96702.694,2156.2653269292787
zona777,340,E23_N418,validation,15849,24881.6646,11321,17304.759,666.2839378230274
zona777,341,E23_N418,validation,21960,34838.6124,16925,25423.097,978.9968188483036
zona777,342,E23_N418,validation,39883,63867.5845,36997,55042.2511,1759.610929416609
zona777,343,E23_N418,validation,34265,56728.1154,36103,54522.8703,1967.794878782763
zona777,344,E23_N418,validation,12753,21794.966,18270,27054.0737,3688.4315102978144
zona777,345,E23_N418,validation,8095,14324.5761,1679,2606.6456,4127.672261891363
zona777,346,E23_N418,validation,26232,41572.9517,16639,24911.5525,1427.1175773702562
zona777,347,E23_N418,validation,10723,20083.3946,12069,17977.1835,1730.849803240097
zona777,348,E23_N419,train,15860,25460.7286,16665,24088.204,1027.2078827866353
zona777,349,E23_N419,train,20097,28641.8288,11510,16854.9096,1805.962817360647
zona777,35,E23_N420,test,106448,148538.4561,104527,142379.4045,2932.308122280985
zona777,350,E23_N419,train,40323,61703.284999999996,37098,54276.651,988.7121625813888
zona777,351,E23_N419,train,10930,16624.0104,11019,16467.5506,862.5511102725868
zona777,352,E23_N419,train,23118,34170.3942,15136,22602.4297,1093.1876968918368
zona777,353,E23_N419,train,250016,355547.0029,265388,380581.35569999996,1460.3974587135017
zona777,354,E23_N419,train,20530,29820.4416,14230,21064.7262,1014.5117244634894
zona777,355,E23_N419,train,3603,5502.5767000000005,3252,4858.327,776.2179083768278
zona777,356,E23_N419,train,109117,159145.94019999998,116751,173197.75989999998,1740.473188124597
zona777,357,E23_N419,train,3626,5896.8205,6003,8665.3151,845.3185673000407
zona777,358,E23_N419,train,285667,403042.0861,303319,427986.0301,1217.6715000849215
zona777,359,E23_N419,train,300712,418672.7991,325257,458907.2875,1014.2205686513336
zona777,36,E22_N420,validation,88241,125680.1263,51706,74957.03689999999,1639.184344355017
zona777,360,E23_N419,train,14596,21325.126800000002,18752,27589.5435,1074.1515092618065
zona777,361,E23_N419,train,32290,46678.8234,19285,28202.2007,1072.6223967351834
zona777,362,E23_N419,train,3287,5650.0295,3759,5368.7871000000005,1228.4458699842216
zona777,363,E23_N419,train,186768,260036.06369999997,197503,279244.7074,1265.379669693939
zona777,364,E23_N419,train,194841,269910.45540000004,210933,299761.8407,1544.6262821629643
zona777,365,E23_N419,train,28333,44042.4707,28726,42256.2125,1256.406785953208
zona777,366,E23_N419,train,52530,79461.33780000001,44448,64990.4439,1324.69491736521
zona777,367,E23_N419,train,254732,356819.2454,267938,382690.1177,2408.879319605534
zona777,368,E23_N419,train,1611,2534.7797,1768,2536.444,1183.0772158596665
zona777,369,E23_N419,train,21466,33954.0115,21729,32053.3054,746.5440156087279
zona777,37,E23_N420,test,324864,455226.72709999996,297092,419786.20999999996,1235.984392109909
zona777,370,E23_N419,train,22032,34300.517100000005,20441,29437.5395,956.7816554966266
zona777,371,E23_N419,train,90695,124380.773,52818,79031.8434,1387.2101419357932
zona777,372,E23_N419,train,297773,421831.20379999996,313528,451521.3641,1468.7747910966864
zona777,373,E23_N419,train,11949,17735.1801,16018,23309.5582,1540.8303629260045
zona777,374,E22_N419,train,25083,36795.7024,22993,33457.1065,1641.4327079280629
zona777,375,E23_N419,train,182462,261249.67930000002,176028,253118.8811,1778.8493080437183
zona777,376,E23_N419,train,23242,33589.7772,18784,27220.2007,1734.1684640599417
zona777,377,E22_N419,train,16084,25440.8944,14676,21490.507400000002,1694.0685944017025
zona777,378,E22_N419,train,6858,10069.3356,6148,9229.5584,973.5644763624296
zona777,379,E22_N419,train,29728,48074.3507,42514,63981.037899999996,1211.9787468645957
zona777,38,E23_N420,test,34450,51967.6299,29470,43008.168900000004,1108.8076279349625
zona777,380,E23_N419,train,631174,913477.2303999999,553049,794455.0468,1352.529053464823
zona777,381,E23_N419,train,20211,29265.9544,38252,56772.01950000002,1515.190488766937
zona777,382,E22_N419,train,1610,3145.3291,6465,9395.1276,450.19814421923365
zona777,383,E22_N419,train,21016,31400.8921,20682,31176.590899999996,1337.353795159608
zona777,384,E22_N419,train,18458,26716.6503,6723,10074.0587,844.1162852793932
zona777,386,E23_N419,train,32728,45764.5337,30370,44596.2435,1523.0579448193312
zona777,387,E22_N419,train,17867,26807.679799999998,14894,22110.7764,1433.839656965807
zona777,388,E22_N419,train,16579,25459.264,19765,29225.9717,2940.0465848706663
zona777,389,E22_N419,train,27252,40726.4007,23714,35695.7262,931.881618990912
zona777,39,E23_N420,test,20473,31190.4195,16334,23858.058399999998,1623.7751498027935
zona777,390,E23_N419,train,24251,35999.6716,10896,16276.101099999998,970.028456216678
zona777,391,E22_N418,train,87663,126249.36330000001,82266,124263.59180000001,1363.3575247377155
zona777,392,E22_N419,train,5877,9271.6348,3853,5886.3836,1057.9639234140632
zona777,393,E23_N418,validation,7211,12128.4358,13335,19895.2946,1094.2471392210573
zona777,394,E22_N418,train,14230,22236.554,10139,15659.3365,802.7377114700503
zona777,395,E23_N418,validation,129721,185675.6975,124085,179805.989,713.9265780256246
zona777,396,E22_N418,train,6367,9162.4885,8670,13109.534800000001,813.8323221523315
zona777,397,E23_N418,validation,24884,36615.787299999996,12352,18443.1061,813.6942684639362
zona777,398,E22_N418,train,14118,20566.4322,11544,17614.2992,1032.950500314415
zona777,399,E23_N419,train,121628,170261.05459999997,117602,171222.68889999998,1320.6777783385478
zona777,4,E23_N420,test,43907,70746.93209999999,43540,64047.6705,1254.698532614624
zona777,40,E23_N420,test,228869,316424.36789999995,209263,301407.4582,1393.920300879341
zona777,400,E22_N419,train,43812,65728.7377,54485,80969.6222,1025.719629978761
zona777,401,E23_N419,train,110869,151681.5945,117319,166460.89969999998,1687.0045285931556
zona777,402,E22_N419,train,5612,8565.8421,3160,4590.7672,830.3929682321614
